trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2576,False,"{'a': 0.005758035740813261, 'e': 0.005758035740813261}",20,14,12.950724748345541,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2577,False,"{'a': 0.005746519669331635, 'e': 0.005746519669331635}",20,14,12.606147293482259,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2578,False,"{'a': 0.005735026629992972, 'e': 0.005735026629992972}",20,16,8.463128828864381,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2579,False,"{'a': 0.005723556576732986, 'e': 0.005723556576732986}",25,15,19.39240855930006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2580,False,"{'a': 0.00571210946357952, 'e': 0.00571210946357952}",20,15,10.203445594712772,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2581,False,"{'a': 0.0057006852446523605, 'e': 0.0057006852446523605}",25,16,14.417868083877519,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2582,False,"{'a': 0.005689283874163056, 'e': 0.005689283874163056}",20,8,22.33073138361663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2583,False,"{'a': 0.00567790530641473, 'e': 0.00567790530641473}",20,12,16.35496597919719,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2584,False,"{'a': 0.0056665494958019, 'e': 0.0056665494958019}",20,14,13.833889505367244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2585,False,"{'a': 0.005655216396810297, 'e': 0.005655216396810297}",20,16,9.046468329289077,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2586,False,"{'a': 0.005643905964016676, 'e': 0.005643905964016676}",25,16,18.40612466864482,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2587,False,"{'a': 0.005632618152088643, 'e': 0.005632618152088643}",20,12,15.812651664208541,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2588,False,"{'a': 0.005621352915784465, 'e': 0.005621352915784465}",25,9,28.13371330215886,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2589,False,"{'a': 0.005610110209952897, 'e': 0.005610110209952897}",25,7,27.99395821263343,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2590,False,"{'a': 0.00559888998953299, 'e': 0.00559888998953299}",35,17,33.25518347966259,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2591,False,"{'a': 0.0055876922095539246, 'e': 0.0055876922095539246}",25,9,25.227190025845662,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2592,False,"{'a': 0.0055765168251348165, 'e': 0.0055765168251348165}",25,13,21.018733426257175,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2593,False,"{'a': 0.005565363791484547, 'e': 0.005565363791484547}",25,11,29.62035590973011,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2594,False,"{'a': 0.005554233063901578, 'e': 0.005554233063901578}",20,0,29.980597383825135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
